n,TotalTime
70000000,33998774559
70000000,33964861688
70000000,33939358413
70000000,33943446800
70000000,33976374403
70000000,34012195917
70000000,33971938743
70000000,33945609713
70000000,34073454918
80000000,39107928943
80000000,39088523087
80000000,39119352393
80000000,39133937637
80000000,39133297163
80000000,39064532312
80000000,39093081298
80000000,39087049949
80000000,39096540574
80000000,39086977256
90000000,44236696484
90000000,44252009499
90000000,44276275862
90000000,44255924846
90000000,44237343200
90000000,44229932152
90000000,44259999343
90000000,44275803758
90000000,44243269512
90000000,44256713345
100000000,49464127113
100000000,49460101203
100000000,49425940663
100000000,49408946884
100000000,49480413158
100000000,49421711140
100000000,49446591972
100000000,49566434994
100000000,49429880604
100000000,49435330459
