n,TotalTime
10000000,5263293681
10000000,5274054454
10000000,5296347017
10000000,5278513619
10000000,5281266871
10000000,5283115049
10000000,5276664258
10000000,5284961764
10000000,5278979635
10000000,5275501185
10000000,5276838270
10000000,5328097969
10000000,5277211395
20000000,11158458705
20000000,11133612083
20000000,11130290848
20000000,11143569212
20000000,11110455204
20000000,11104318103
20000000,11027360489
20000000,11150498078
20000000,11025583835
20000000,11023609512
30000000,16955032728
30000000,17110200012
30000000,17013200690
30000000,17130233405
30000000,16955197441
30000000,17104863647
30000000,17131877917
30000000,16916438028
30000000,17120445249
30000000,16971911900
40000000,23004131265
40000000,22984783558
40000000,22980960089
40000000,23222651462
40000000,22980739709
40000000,22996448835
40000000,23068342377
40000000,23239910635
40000000,23193407954
40000000,23016090374
50000000,29113251306
50000000,29186868777
50000000,29422274201
50000000,29154652395
50000000,29161147279
50000000,29345312837
50000000,29349562297
50000000,29126953816
50000000,29113233989
50000000,29113476849
60000000,35301564393
60000000,35658848653
60000000,35653711229
60000000,35296324067
60000000,35249962683
60000000,35240520732
60000000,35812021699
60000000,35328684914
60000000,35382001665
60000000,35231933699
70000000,41942478870
70000000,41523459914
70000000,41503051994
70000000,41533242346
70000000,42076094263
70000000,41905786045
70000000,41591621898
70000000,41536572966
70000000,41965979772
70000000,41961678008
80000000,47848318060
80000000,47862314847
80000000,48340324892
80000000,47833751763
80000000,48343197019
80000000,48460444921
80000000,47845768255
80000000,48345768164
80000000,48319327150
80000000,47886457119
90000000,54684818262
90000000,54187400388
90000000,54124932061
90000000,54347409433
90000000,54692294416
90000000,54207068096
90000000,54081831906
90000000,54665851771
90000000,54189655995
90000000,54386598273
100000000,60597056475
100000000,61190096571
100000000,60584874883
100000000,60523125350
100000000,60539883404
100000000,60555622433
100000000,61193684501
100000000,61026383094
100000000,61148454822
100000000,61187186099
